URL,Pick
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/AccommodationWarden.aspx,832
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/AccountingTechnician.aspx,426
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/AccountsClerk-bookkeeper.aspx,544
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/AcousticsConsultant.aspx,67
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Actor.aspx,313
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Actuary.aspx,369
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Acupuncturist.aspx,512
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/AdministrativeAssistant.aspx,431
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/AdultNurse.aspx,172
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Adultnurse.aspx,799
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/AdvertisingAccountExecutive.aspx,34
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/AdvertisingAccountPlanner.aspx,601
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/AdvertisingArtDirector.aspx,620
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/AdvertisingCopywriter.aspx,594
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/AdvertisingMediaBuyer.aspx,351
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/AdvertisingMediaPlanner.aspx,358
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/AerospaceEngineer.aspx,697
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/AerospaceEngineeringTechnician.aspx,593
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/AgriculturalContractor.aspx,185
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/AgriculturalEngineer.aspx,465
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/AgriculturalEngineeringTechnician.aspx,736
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/AgriculturalInspector.aspx,531
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/AirCabinCrew.aspx,472
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/AirlineCustomerServiceAgent.aspx,634
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/AirlinePilot.aspx,732
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/AirportBaggageHandler.aspx,342
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/AirportInformationAssistant.aspx,780
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/AirTrafficController.aspx,607
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/AlexanderTechniqueTeacher.aspx,757
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/AmbulanceCareAssistant.aspx,491
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/ambulanceparamedic.aspx,274
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/AmbulanceParamedic.aspx,745
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Anaesthetist.aspx,329
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/AnalyticalTextileTechnologist.aspx,245
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/AnatomicalPathologyTechnician.aspx,137
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/AnimalCareWorker.aspx,157
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/AnimalTechnician.aspx,91
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Animator.aspx,727
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/AntiqueDealer.aspx,22
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/arboriculturalofficer.aspx,693
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Archaeologist.aspx,270
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Architect.aspx,644
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/ArchitecturalTechnicianorTechnologist.aspx,142
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Archivist.aspx,510
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/ArmyOfficer.aspx,461
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/ArmySoldier.aspx,169
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Aromatherapist.aspx,52
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/ArtEditor.aspx,105
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/ArtGalleryCurator.aspx,824
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/ArtsAdministrator.aspx,558
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/ArtTherapist.aspx,531
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/ArtValuer.aspx,776
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/AssistanceDogTrainer.aspx,53
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/AssistantImmigrationOfficer.aspx,669
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/astronaut.aspx,452
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Astronomer.aspx,748
