Old profile URL,New profile URL,Pick,,,,,
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CommunityTransportOperationsManager,https://careers.sit.sfa.bis.gov.uk/job-profiles/community-transport-operations-manager,3,,,,,
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Interpreter,https://careers.sit.sfa.bis.gov.uk/job-profiles/interpreter,3,,,,,
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CourtLegalAdviser,https://careers.sit.sfa.bis.gov.uk/job-profiles/court-legal-adviser,5,,,,,
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/BarPerson,https://careers.sit.sfa.bis.gov.uk/job-profiles/bar-person,6,,,,,
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/RoadTransportManager,https://careers.sit.sfa.bis.gov.uk/job-profiles/road-transport-manager,8,,,,,
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/SheetMetalWorker,https://careers.sit.sfa.bis.gov.uk/job-profiles/sheet-metal-worker,10,,,,,
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/TravelAgencyManager,https://careers.sit.sfa.bis.gov.uk/job-profiles/travel-agency-manager,14,,,,,
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/RetailManager,https://careers.sit.sfa.bis.gov.uk/job-profiles/retail-manager,15,,,,,
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Oceanographer,https://careers.sit.sfa.bis.gov.uk/job-profiles/oceanographer,18,,,,,
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/SportAndExercisePsychologist,https://careers.sit.sfa.bis.gov.uk/job-profiles/sport-and-exercise-psychologist,20,,,,,
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CarFleetManager,https://careers.sit.sfa.bis.gov.uk/job-profiles/car-fleet-manager,21,,,,,
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/SalesRepresentative,https://careers.sit.sfa.bis.gov.uk/job-profiles/sales-representative,21,,,,,
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/ConstructionManager,https://careers.sit.sfa.bis.gov.uk/job-profiles/construction-manager,24,,,,,
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/FreightForwarder,https://careers.sit.sfa.bis.gov.uk/job-profiles/freight-forwarder,24,,,,,
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/WebDesigner,https://careers.sit.sfa.bis.gov.uk/job-profiles/web-designer,28,,,,,
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/PersonalAssistant,https://careers.sit.sfa.bis.gov.uk/job-profiles/personal-assistant,31,,,,,
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/ComputerGamesTester,https://careers.sit.sfa.bis.gov.uk/job-profiles/computer-games-tester,34,,,,,
